#Transcript	Name/Description	Gene	Gene Description	DEA Result	Regulated	(1 - Probability)	Probability	Log2FC	Control MeanExpLevel	Test MeanExpLevel
G13554.2	FBtr0343632	eIF4H1	eIF4H1	DE	DOWN	0.00741	0.99259	-1.23	890.29	379.42
G13554.6	FBtr0074279	eIF4H1	eIF4H1	DE	DOWN	0.0	1.0	-1.48	3385.76	1217.68
G13556.2	FBtr0074299	Cnx14D		DE	DOWN	0.00659	0.99341	-1.15	927.32	418.31
G13556.4	FBtr0074299	Cnx14D		Not DE		0.92461	0.075392	0.03	3243.15	3310.53
G13556.7	FBtr0074299	Cnx14D		DE	DOWN	0.00113	0.99887	-3.76	1484.57	109.72
G13556.8	FBtr0074299	Cnx14D		DE	DOWN	0.00152	0.99848	-1.4	1905.77	722.58
G13557.6	FBtr0074296	CG9902		Not DE		0.03995	0.96005	-0.34	2115.51	1674.08
G13558.13	FBtr0074295	Arp2		DE	UP	0.01989	0.98011	1.92	97.9	371.63
G13558.15	novel	Arp2		DE	DOWN	0.03136	0.96864	-1.26	427.44	178.79
G13558.17	FBtr0074295	Arp2		Not DE		0.03032	0.96968	-0.94	1119.04	584.72
G13558.19	novel	Arp2		Not DE		0.99115	0.0088467	0.02	216.15	218.84
G13558.22	FBtr0074295	Arp2		DE	DOWN	0.0	1.0	-2.33	2894.07	576.55
G13558.3	FBtr0074295	Arp2		DE	DOWN	0.00241	0.99759	-1.24	1662.26	702.46
G13558.9	novel	Arp2		DE	DOWN	0.00817	0.99183	-1.98	343.34	87.32
G13559.10	FBtr0074294	Pp2B-14D		DE	UP	0.0	1.0	17.39	0.0	861.64
G13559.11	FBtr0074294	Pp2B-14D		DE	DOWN	3.2E-4	0.99968	-1.63	1782.53	577.85
G13559.9	FBtr0074294	Pp2B-14D		Not DE		0.06841	0.93159	-0.25	1994.51	1678.21
G1356.10	FBtr0331642	Klp31E		Not DE		0.99531	0.0046857	0.0	104.43	104.42
G1356.12	FBtr0302039	Klp31E		Not DE		0.11601	0.88399	0.2	1679.4	1922.64
G1356.8	FBtr0080018	Klp31E		DE	UP	0.04294	0.95706	1.31	101.94	252.26
G13560.2	novel	Ubc7		Not DE		0.0457	0.9543	-0.52	964.99	673.94
G13560.4	FBtr0074283	Ubc7		Not DE		0.0957	0.9043	-0.57	539.48	363.84
G13560.5	FBtr0074283	Ubc7		Not DE		0.03744	0.96256	-0.2	3637.47	3175.5
G13560.7	novel	Ubc7		Not DE		0.53218	0.46782	-0.1	933.57	870.92
G13562.2	FBtr0074290	SMC3		Not DE		0.16829	0.83171	-0.19	1724.52	1511.11
G13562.4	FBtr0074290	SMC3		DE	UP	0.0	1.0	16.28	0.01	996.36
G13563.2	FBtr0330409	CG9784		DE	UP	0.0	1.0	4.38	44.75	930.81
G13563.6	FBtr0330409	CG9784		DE	UP	0.0	1.0	16.63	0.0	505.38
G13563.8	FBtr0330409	CG9784		Not DE		0.04479	0.95521	-0.41	1586.77	1198.17
G13564.13	novel	Nup153		DE	UP	0.0	1.0	16.03	0.0	335.69
G13564.16	novel	Nup153		DE	UP	0.0	1.0	2.28	485.17	2357.81
G13564.2	novel	Nup153		Not DE		0.03774	0.96226	0.78	413.57	712.16
G13564.5	novel	Nup153		Not DE		0.41667	0.58333	0.12	918.09	999.18
G13564.6	novel	Nup153		DE	DOWN	0.00163	0.99837	-1.05	2586.85	1250.55
G13567.15	FBtr0074287	CG9777		DE	UP	0.0	1.0	1.55	3595.31	10562.71
G13567.17	novel	CG9777		DE	UP	0.00102	0.99898	2.43	152.37	821.56
G13567.22	FBtr0074287	CG9777		DE	UP	0.0	1.0	1.61	2457.68	7526.34
G13567.23	FBtr0074287	CG9777		Not DE		0.11974	0.88026	0.39	728.02	950.82
G13567.6	FBtr0340151	Rok		DE	DOWN	2.7E-4	0.99973	-1.15	3049.11	1373.68
G13567.7	novel	Rok		Not DE		0.00541	0.99459	-0.44	3190.98	2346.57
G13569.1	FBtr0074313	RpS19a		Not DE		0.14877	0.85123	0.36	440.67	567.3
G13569.2	FBtr0074311	RpS19a		Not DE		3.0E-5	0.99997	-0.29	26879.97	21916.82
G1357.1	FBtr0080019	RfC3		Not DE		0.05158	0.94842	-0.33	1811.34	1444.25
G13570.1	FBtr0112993	SNRPG	SNRPG	Not DE		0.00896	0.99104	-0.34	4165.82	3280.55
G13571.1	FBtr0074314	mthl1		Not DE		0.36199	0.63801	-0.11	1466.84	1361.85
G13573.1	FBtr0346519	CG42512		Not DE		0.0673	0.9327	-0.28	1686.48	1387.35
G13574.5	FBtr0074376	CG9723		Not DE		0.0	1.0	0.91	8327.75	15617.02
G13575.10	FBtr0340155	r		DE	UP	0.0	1.0	5.58	96.37	4608.82
G13575.19	FBtr0340155	r		DE	UP	2.2E-4	0.99978	1.96	411.72	1606.5
G13575.3	FBtr0340156	r		Not DE		0.04971	0.95029	-0.18	7155.04	6311.04
G13578.1	FBtr0290216	CG13012		Not DE		0.07365	0.92635	-0.6	395.36	261.24
G13579.11	FBtr0074372	Axs		Not DE		0.44202	0.55798	-0.15	595.18	534.82
G13579.2	FBtr0074373	CG13010		Not DE		0.0	1.0	-0.86	14678.78	8111.59
G13579.3	FBtr0074373	CG13010		DE	UP	6.4E-4	0.99936	1.64	381.47	1185.69
G13579.5	FBtr0074372	Axs		DE	UP	0.00176	0.99824	1.68	266.01	849.54
G13579.6	FBtr0074372	Axs		DE	UP	0.01043	0.98957	1.42	172.95	463.88
G1358.1	FBtr0333490	pie		DE	UP	0.001	0.999	2.34	139.85	708.6
G1358.10	novel	pie_SmB	pie_SmB	DE	DOWN	0.00746	0.99254	-1.86	272.22	74.83
G1358.13	FBtr0304118	SmB		Not DE		0.28773	0.71227	-0.1	2442.79	2283.84
G1358.14	novel	SmB_Bug22	SmB_Bug22	Not DE		0.15859	0.84141	0.46	253.24	349.32
G1358.16	FBtr0304118	SmB		Not DE		0.04469	0.95531	0.93	166.71	316.75
G1358.20	novel	Bug22		DE	DOWN	8.4E-4	0.99916	-1.41	2821.92	1064.03
G1358.21	FBtr0080044	Bug22		DE	DOWN	0.0	1.0	-2.02	34440.81	8482.17
G1358.22	novel	Bug22		DE	DOWN	0.0018	0.9982	-1.33	1462.88	580.9
G1358.27	novel	TBC1D16	TBC1D16	DE	UP	3.9E-4	0.99961	2.45	186.16	1018.25
G1358.34	FBtr0080043	TBC1D16	TBC1D16	DE	UP	0.0	1.0	5.15	56.2	1991.71
G1358.35	novel	TBC1D16	TBC1D16	Not DE		0.06093	0.93907	0.94	139.74	267.66
G1358.38	FBtr0080043	TBC1D16	TBC1D16	DE	UP	0.0039	0.9961	3.04	34.94	287.1
G1358.4	novel	pie_SmB	pie_SmB	DE	UP	0.0	1.0	16.02	0.0	331.22
G1358.48	novel	TBC1D16	TBC1D16	DE	UP	0.0	1.0	2.59	361.54	2176.31
G1358.5	novel	pie_Bug22	pie_Bug22	DE	UP	0.04101	0.95899	1.53	36.14	104.43
G1358.51	novel	lncRNA_CR45375	lncRNA_CR45375	DE	UP	0.00832	0.99168	1.07	398.17	835.05
G1358.55	FBtr0345773	lncRNA_CR45375	lncRNA_CR45375	Not DE		0.12631	0.87369	-0.19	2286.81	2009.64
G1358.6	FBtr0080046	pie		Not DE		0.06064	0.93936	0.27	1767.12	2132.79
G13583.5	FBtr0074322	CG13008		DE	DOWN	0.0	1.0	-1.46	18693.44	6790.91
G13583.6	FBtr0074322	CG13008		DE	DOWN	0.0	1.0	-1.13	12345.7	5641.71
G13584.2	FBtr0112527	CG34325		Not DE		0.00594	0.99406	0.21	6718.65	7772.22
G13585.13	FBtr0074324	CG32572		Not DE		0.0	1.0	-0.67	19267.03	12106.47
G13585.2	FBtr0074324	CG32572		Not DE		0.067	0.933	0.31	1189.62	1478.94
G13585.7	novel	CG32572		Not DE		0.47711	0.52289	0.09	1742.41	1854.43
G13586.3	FBtr0343363	goe	goe	Not DE		0.04119	0.95881	0.48	741.35	1037.27
G13586.5	FBtr0074359	goe	goe	DE	UP	0.0	1.0	3.74	63.42	846.6
G13586.7	FBtr0343363	goe	goe	DE	UP	0.00351	0.99649	4.64	5.3	131.67
G13587.2	novel	novelGene_TwdlX_AS	novelGene_TwdlX_AS	DE	UP	0.0	1.0	4.97	58.12	1824.06
G1359.2	FBtr0080020	Wdfy2	Wdfy2	Not DE		0.0	1.0	-0.88	19675.69	10706.42
G13590.1	FBtr0343362	CG32568		Not DE		0.08089	0.91911	0.8	227.36	395.04
G13590.16	novel	Twdlalpha		DE	UP	2.0E-4	0.9998	2.31	490.7	2431.93
G13590.2	novel	CG32568		Not DE		0.23295	0.76705	0.43	186.05	250.09
G13590.6	novel	CG32568		DE	UP	0.0057	0.9943	1.91	81.78	306.33
G13590.8	novel	CG32568		Not DE		0.0	1.0	0.87	12022.26	21961.5
G13591.1	FBtr0074357	if		DE	DOWN	0.0	1.0	-1.38	2832.34	1089.22
G13592.2	FBtr0074330	mRpL22		Not DE		0.96772	0.032281	-0.01	1947.81	1930.57
G13593.12	FBtr0074354	CG9132		DE	DOWN	2.9E-4	0.99971	-1.21	2782.23	1205.03
G13593.5	FBtr0344090	CG9609_Rrp45	CG9609_Rrp45	Not DE		0.99312	0.0068838	0.01	690.59	693.1
G13593.9	FBtr0074355	Rrp45		DE	UP	0.0	1.0	1.53	1179.62	3406.3
G13594.2	FBtr0074331	Sap30		Not DE		0.10962	0.89038	-0.52	375.71	262.27
G13594.3	FBtr0074331	Sap30		Not DE		0.19936	0.80064	-0.32	624.3	500.81
G13594.4	FBtr0074331	Sap30		DE	DOWN	0.0044	0.9956	-3.24	418.4	44.28
G13594.5	FBtr0074331	Sap30		DE	UP	0.0	1.0	16.56	0.0	483.74
G13595.4	FBtr0305899	CG4768		Not DE		0.70266	0.29734	-0.1	557.57	520.62
G13595.5	FBtr0074332	CG4768		Not DE		0.02185	0.97815	0.58	844.71	1267.06
G13595.7	FBtr0305899	CG4768		Not DE		0.07961	0.92039	-0.74	248.72	148.73
G13597.5	novel	CG4789		DE	UP	0.02056	0.97944	1.56	57.6	170.35
G13597.6	FBtr0074333	CG4789		Not DE		0.01801	0.98199	-0.28	4362.69	3588.34
G13597.7	novel	CG4789		Not DE		0.58462	0.41538	0.1	763.2	818.39
G136.1	FBtr0345453	lncRNA_CR45259	lncRNA_CR45259	DE	DOWN	0.0	1.0	-3.83	1118.26	78.76
G1360.3	FBtr0080021	KdelR		DE	DOWN	0.00144	0.99856	-1.74	2240.54	672.28
G1360.4	FBtr0080021	KdelR		DE	DOWN	0.00112	0.99888	-1.29	1988.64	810.82
G1360.5	FBtr0080021	KdelR		Not DE		0.00139	0.99861	-0.27	10448.33	8679.09
G1360.6	FBtr0080021	KdelR		Not DE		0.06687	0.93313	-0.96	297.4	153.39
G1360.7	FBtr0080022	KdelR		Not DE		0.25467	0.74533	0.17	1020.23	1149.47
G1360.8	FBtr0080022	KdelR		Not DE		0.53091	0.46909	0.21	214.64	248.73
G1360.9	FBtr0080022	KdelR		Not DE		0.94187	0.058131	0.07	425.7	445.81
G13602.1	FBtr0074337	CG4829		DE	DOWN	3.6E-4	0.99964	-1.21	2603.77	1129.17
G13602.3	FBtr0112994	CG4829		DE	DOWN	0.0	1.0	-3.06	3428.61	410.86
G13603.10	FBtr0112996	CG13004		DE	DOWN	0.00126	0.99874	-1.09	2552.68	1200.56
G13603.11	FBtr0074351	CG13004		Not DE		0.8701	0.1299	-0.06	1094.74	1051.18
G13603.12	FBtr0074351	CG13004		Not DE		0.0	1.0	-0.74	8582.71	5121.42
G13603.17	FBtr0074350	RSG7		DE	UP	0.02195	0.97805	1.17	99.61	224.2
G13603.28	FBtr0074350	RSG7		DE	UP	0.01385	0.98615	1.02	303.53	613.74
G13603.4	FBtr0074351	CG13004		DE	DOWN	0.0105	0.9895	-1.03	1466.88	720.82
G13603.5	FBtr0074351	CG13004		Not DE		0.02	0.98	-0.99	1033.23	520.45
G13603.8	FBtr0304152	CG13004		DE	DOWN	0.00225	0.99775	-1.04	1618.88	784.77
G13604.12	FBtr0074341	Rcp		Not DE		0.95877	0.041234	-0.03	399.21	390.15
G13605.2	FBtr0074348	Nprl2	Nprl2	Not DE		0.08774	0.91226	-0.41	756.45	569.29
G13606.1	FBtr0074347	DENR	DENR	Not DE		0.00819	0.99181	-0.34	4970.08	3938.17
G13607.3	FBtr0074342	CG4880		Not DE		0.04612	0.95388	0.26	2961.46	3547.06
G13607.5	FBtr0074342	CG4880		Not DE		2.1E-4	0.99979	0.9	4389.65	8201.26
G13607.7	FBtr0310519	CG4880		Not DE		0.07895	0.92105	0.73	133.63	220.91
G13607.8	FBtr0074342	CG4880		DE	UP	0.0	1.0	2.02	1339.58	5444.0
G13608.1	FBtr0331291	lncRNA_CR43768	lncRNA_CR43768	Not DE		0.04197	0.95803	0.62	482.29	742.75
G13609.1	FBtr0074346	CG33252		DE	UP	0.0	1.0	1.12	5674.96	12353.36
G1361.1	FBtr0080024	CG5188		Not DE		0.07358	0.92642	-0.38	1074.11	825.4
G1361.2	novel	CG5188_TfIIB	CG5188_TfIIB	Not DE		0.42689	0.57311	-0.1	1185.02	1103.48
G1361.4	FBtr0080025	TfIIB		Not DE		0.00144	0.99856	-0.35	12413.08	9720.46
G1361.5	FBtr0080025	TfIIB		Not DE		0.97526	0.024737	-0.03	204.88	200.06
G13610.1	FBtr0074344	CG4928		DE	DOWN	0.01581	0.98419	-2.99	127.89	16.14
G13610.11	FBtr0074345	CG4928		DE	DOWN	0.00324	0.99676	-2.15	646.74	145.51
G13610.3	FBtr0074344	CG4928		DE	DOWN	0.0	1.0	-2.5	1717.7	302.65
G13610.7	FBtr0074344	CG4928		DE	DOWN	0.0	1.0	-1.83	4362.58	1228.96
G13610.9	FBtr0074345	CG4928		DE	DOWN	0.01427	0.98573	-3.05	132.69	16.02
G13612.1	FBtr0074417	CG13001		Not DE		0.06118	0.93882	0.5	571.62	810.3
G13612.2	FBtr0074417	CG13001		DE	UP	0.0	1.0	15.07	0.0	171.72
G13613.1	FBtr0290096	RhoGAP15B		DE	DOWN	0.00123	0.99877	-1.29	1705.61	697.13
G13613.2	FBtr0110990	RhoGAP15B		DE	UP	0.0	1.0	4.76	77.72	2109.59
G13613.3	novel	RhoGAP15B		DE	UP	0.00564	0.99436	2.78	15.35	105.69
G13613.5	FBtr0110990	RhoGAP15B		DE	UP	0.0	1.0	6.43	10.74	926.26
G13613.6	FBtr0110990	RhoGAP15B		DE	UP	1.8E-4	0.99982	5.87	12.04	706.3
G13614.2	FBtr0308839	Ubr1	Ubr1	Not DE		0.07038	0.92962	-0.4	1227.36	926.98
G13614.3	FBtr0074415	Ubr1	Ubr1	Not DE		0.00523	0.99477	-0.64	6899.25	4414.11
G13614.4	FBtr0308839	Ubr1	Ubr1	Not DE		0.038	0.962	-0.45	2145.7	1574.89
G13614.7	FBtr0074415	Ubr1	Ubr1	DE	DOWN	0.00772	0.99228	-1.04	4598.42	2242.2
G13617.3	novel	novelGene_CG45002_AS	novelGene_CG45002_AS	DE	UP	0.0	1.0	2.23	344.25	1613.85
G13619.1	FBtr0334116	CG43997		Not DE		3.7E-4	0.99963	0.55	3643.95	5351.76
G13620.1	novel	CG43077		Not DE		0.12002	0.87998	0.55	207.8	304.31
G13620.2	novel	CG43077		DE	UP	0.04762	0.95238	1.15	37.95	84.21
G13620.4	FBtr0304841	CG43077		DE	UP	0.0	1.0	1.1	7982.19	17079.11
G13620.5	FBtr0304841	CG43077		Not DE		0.04382	0.95618	0.97	156.1	305.94
G13620.6	novel	CG43077		DE	UP	0.0058	0.9942	2.17	55.32	248.36
G13621.11	novel	wcy	wcy	Not DE		0.11645	0.88355	0.7	54.3	88.44
G13621.4	FBtr0330596	wcy	wcy	Not DE		0.03901	0.96099	-0.35	2323.77	1826.71
G13621.5	FBtr0330596	wcy	wcy	Not DE		0.23268	0.76732	0.2	1104.85	1266.22
G13621.6	FBtr0330596	wcy	wcy	Not DE		0.64111	0.35889	0.23	220.9	258.65
G13621.7	FBtr0330596	wcy	wcy	DE	UP	0.00103	0.99897	1.12	1550.43	3363.8
G13621.8	novel	wcy	wcy	DE	UP	0.01371	0.98629	2.36	32.56	167.72
G13624.2	novel	CG8945		DE	UP	0.0	1.0	3.56	155.54	1839.3
G13624.4	FBtr0074411	CG8945		Not DE		0.54072	0.45928	0.17	300.8	339.01
G13625.2	novel	CG4955		DE	DOWN	0.03832	0.96168	-1.41	143.03	53.9
G13625.3	novel	CG4955		DE	DOWN	0.0	1.0	-1.76	3014.9	888.75
G13625.5	FBtr0074382	CG4955		DE	DOWN	0.0	1.0	-1.61	3805.41	1243.93
G13625.6	FBtr0074382	CG4955		DE	DOWN	0.0	1.0	-1.7	32720.45	10077.47
G13627.1	FBtr0074384	CG4991		Not DE		0.01609	0.98391	-0.95	821.46	423.9
G13627.11	FBtr0074386	CG5004		DE	DOWN	0.00749	0.99251	-2.93	186.13	24.44
G13627.12	FBtr0074386	CG5004		Not DE		0.28546	0.71454	0.33	416.45	524.27
G13627.2	FBtr0074385	CG4991		DE	UP	0.00608	0.99392	2.0	175.32	703.46
G13627.20	FBtr0302375	CG5004		DE	UP	0.00552	0.99448	1.26	612.75	1466.68
G13627.22	FBtr0302375	CG5004		DE	UP	0.00991	0.99009	2.26	111.63	533.43
G13627.27	FBtr0302375	CG5004		DE	UP	2.8E-4	0.99972	7.45	1.32	231.0
G13627.28	FBtr0302375	CG5004		Not DE		0.09005	0.90995	0.5	436.56	619.28
G13627.3	FBtr0074385	CG4991		DE	UP	0.0	1.0	17.27	0.0	792.92
G13627.4	novel	CG4991_CG5004	CG4991_CG5004	DE	UP	0.0	1.0	18.39	0.0	1718.66
G13627.9	FBtr0074386	CG5004		DE	DOWN	0.00245	0.99755	-1.01	1913.84	947.04
G13629.2	novel	Arpc3B		Not DE		0.04683	0.95317	-0.74	450.65	268.9
G1363.2	FBtr0080026	holn1		Not DE		0.00551	0.99449	-0.53	2872.93	1992.38
G13630.13	novel	mei-218		Not DE		0.93939	0.060611	0.06	222.11	231.85
G13630.22	novel	mei-218		Not DE		0.12437	0.87563	0.82	94.39	166.16
G13630.3	novel	mei-217		DE	UP	0.0203	0.9797	1.76	60.78	205.35
G13630.32	novel	mei-217		Not DE		0.88597	0.11403	-0.08	371.17	351.96
G13630.33	novel	mei-217		Not DE		0.0319	0.9681	0.81	340.82	596.52
G13630.35	FBtr0100639	mei-218		Not DE		0.06024	0.93976	0.55	2685.04	3935.88
G13630.37	FBtr0100639	mei-218		Not DE		0.19606	0.80394	-0.18	2356.05	2080.89
G13630.39	FBtr0100639	mei-218		Not DE		0.07811	0.92189	-0.21	6611.61	5708.55
G13630.4	novel	mei-217		Not DE		0.01886	0.98114	0.49	1500.64	2113.6
G13631.3	FBtr0074387	Chchd2	Chchd2	Not DE		0.88276	0.11724	-0.03	2627.2	2573.82
G13631.4	FBtr0074387	Chchd2	Chchd2	Not DE		1.4E-4	0.99986	-0.34	15147.17	11951.45
G13632.15	FBtr0474623	xmas	xmas	Not DE		0.0	1.0	-0.76	29908.45	17711.46
G13632.24	FBtr0474622	xmas	xmas	DE	UP	0.0	1.0	2.42	326.93	1754.09
G13632.26	FBtr0474622	xmas	xmas	DE	DOWN	0.00507	0.99493	-3.07	432.61	51.52
G13632.28	FBtr0474622	xmas	xmas	DE	UP	0.01854	0.98146	1.26	161.7	386.85
G13632.5	FBtr0474624	xmas	xmas	Not DE		0.0087	0.9913	0.52	2266.42	3257.97
G13632.9	novel	xmas	xmas	Not DE		0.02622	0.97378	-0.75	923.24	550.51
G13633.1	FBtr0074388	baz		DE	DOWN	0.01829	0.98171	-1.08	470.19	222.05
G13636.12	FBtr0074403	TTLL1A	TTLL1A	Not DE		0.11864	0.88136	-0.3	1359.75	1101.27
G13636.24	novel	TTLL1A	TTLL1A	DE	UP	0.02943	0.97057	1.76	25.73	86.95
G13636.25	FBtr0074403	TTLL1A	TTLL1A	DE	UP	3.9E-4	0.99961	1.17	1815.85	4086.73
G13636.28	FBtr0074403	TTLL1A	TTLL1A	DE	UP	0.00768	0.99232	1.08	536.66	1130.74
G13636.3	novel	TTLL1A	TTLL1A	Not DE		0.91985	0.080151	-0.07	145.48	138.38
G13636.7	FBtr0074403	TTLL1A	TTLL1A	Not DE		0.09346	0.90654	-0.22	3501.81	3012.01
G13638.1	FBtr0340616	CG5162		Not DE		0.01056	0.98944	-0.81	1161.57	664.34
G13639.1	novel	novelGene_CG10598_AS	novelGene_CG10598_AS	DE	UP	0.0	1.0	15.69	0.0	265.06
G1364.1	FBtr0080027	STUB1	STUB1	Not DE		0.11714	0.88286	-0.12	4185.38	3848.78
G13640.11	FBtr0074447	CG8915		Not DE		0.01759	0.98241	0.76	588.5	996.47
G13640.15	FBtr0074447	CG8915		DE	UP	0.00995	0.99005	2.56	74.4	439.84
G13640.19	FBtr0304020	CG42854		Not DE		0.03617	0.96383	0.43	1232.99	1663.19
G13640.20	FBtr0304020	CG42854		Not DE		0.91673	0.083271	0.04	699.96	719.41
G13640.6	FBtr0074447	CG8915		DE	UP	0.0	1.0	16.62	0.0	502.34
G13640.7	FBtr0074447	CG8915		DE	DOWN	0.00217	0.99783	-1.59	977.02	323.43
G13640.8	FBtr0074447	CG8915		DE	UP	0.0	1.0	16.02	0.0	331.92
G13644.3	novel	f		DE	UP	1.5E-4	0.99985	2.56	214.69	1263.08
G13645.14	FBtr0074425	CG5445		DE	UP	0.00565	0.99435	2.26	111.62	534.57
G13645.15	FBtr0074427	CG5445		Not DE		0.49874	0.50126	0.23	170.31	199.74
G13645.16	FBtr0074427	CG5445		Not DE		0.02003	0.97997	0.93	433.89	823.93
G13645.19	FBtr0074428	CG5445		Not DE		0.04659	0.95341	0.73	254.8	421.32
G13645.20	novel	CG5445		Not DE		0.10821	0.89179	0.8	75.38	130.89
G13645.21	FBtr0074427	CG5445		DE	UP	0.0	1.0	15.27	0.0	197.3
G13645.5	FBtr0339778	CG5445		DE	DOWN	0.0	1.0	-2.88	3444.27	466.35
G13645.7	FBtr0339778	CG5445		DE	DOWN	2.9E-4	0.99971	-1.02	5472.68	2705.12
G13648.1	FBtr0074443	Fim		DE	DOWN	0.0	1.0	-3.04	12921.97	1567.55
G13648.3	FBtr0074441	Fim		DE	UP	0.03196	0.96804	1.1	525.63	1125.32
G13648.5	FBtr0074441	Fim		DE	DOWN	0.0	1.0	-2.52	4185.17	728.55
G13649.10	FBtr0334458	B-H2		Not DE		0.05322	0.94678	-0.68	1011.77	630.88
G13649.6	FBtr0334458	B-H2		Not DE		0.67383	0.32617	0.12	669.21	728.87
G13649.7	FBtr0334458	B-H2		DE	UP	0.00829	0.99171	1.38	279.52	729.39
G1365.1	FBtr0301167	Nse4		Not DE		0.0166	0.9834	0.34	2519.44	3180.66
G13652.2	FBtr0074439	CG8611		DE	UP	0.00854	0.99146	1.03	506.36	1033.25
G13653.15	novel	CG5613		DE	UP	0.0	1.0	6.02	21.04	1362.13
G13653.3	novel	CG5613		Not DE		0.47096	0.52904	-0.09	1575.59	1483.51
G13653.4	novel	CG5613		Not DE		0.10462	0.89538	0.7	121.03	196.49
G13653.6	novel	CG5613		DE	DOWN	0.00269	0.99731	-2.3	377.82	76.88
G13653.7	novel	CG5613		Not DE		0.01803	0.98197	0.73	509.0	843.34
G13653.8	FBtr0074431	CG5613		DE	DOWN	0.0	1.0	-16.79	567.39	0.0
G13654.1	novel	p-cup_CG12994	p-cup_CG12994	DE	UP	0.0	1.0	3.59	83.32	1003.81
G13654.13	novel	p-cup		Not DE		0.08064	0.91936	-0.9	128.58	68.85
G13654.5	novel	p-cup		Not DE		0.00234	0.99766	-0.25	7846.5	6601.8
G13654.6	novel	p-cup		Not DE		0.04825	0.95175	-0.37	1701.82	1319.22
G13656.2	FBtr0310337	CG43658		DE	DOWN	0.0	1.0	-1.37	5767.01	2228.31
G13656.3	FBtr0310338	CG43658		DE	DOWN	0.0015	0.9985	-1.56	1237.58	419.73
G13661.10	FBtr0301413	Ankle2	Ankle2	Not DE		0.15496	0.84504	-0.12	3037.12	2786.5
G13661.23	novel	Ankle2	Ankle2	Not DE		0.09659	0.90341	-0.47	600.92	434.89
G13661.24	FBtr0340625	Ankle2	Ankle2	DE	UP	0.01666	0.98334	1.72	70.07	230.18
G13661.6	FBtr0301415	Ankle2	Ankle2	DE	UP	0.0	1.0	3.44	129.75	1406.24
G13662.10	novel	CG12992		DE	UP	0.00472	0.99528	1.97	132.81	519.25
G13662.11	novel	CG12992		Not DE		0.99354	0.0064634	0.0	1196.32	1199.53
G13662.13	novel	CG12992		Not DE		0.60531	0.39469	0.28	197.19	238.78
G13662.16	novel	CG12992		Not DE		0.37946	0.62054	-0.29	229.36	188.25
G13662.18	novel	CG12992		DE	UP	0.00104	0.99896	1.13	1097.12	2393.11
G13662.20	FBtr0335254	CG12992		Not DE		0.01889	0.98111	-0.52	2250.31	1571.8
G13662.21	novel	CG12992		Not DE		0.08784	0.91216	-0.38	1058.7	815.7
G13662.22	novel	CG12992		DE	UP	0.00476	0.99524	1.39	277.1	728.06
G13662.23	novel	CG12992		DE	UP	5.9E-4	0.99941	5.71	7.88	411.71
G13662.25	novel	CG12992		Not DE		0.98716	0.012838	0.03	111.34	114.04
G13662.26	FBtr0335252	CG12992		Not DE		0.00268	0.99732	-0.65	5627.0	3590.33
G13662.27	novel	CG12992		Not DE		0.04062	0.95938	-0.76	674.26	398.09
G13662.28	novel	CG12992		Not DE		0.06059	0.93941	1.49	95.81	268.42
G13662.29	FBtr0074449	CG12991		DE	UP	0.0	1.0	15.75	0.01	413.2
G13662.39	novel	CG12992		Not DE		0.55519	0.44481	-0.18	287.63	254.4
G13662.42	FBtr0300778	CG12992		Not DE		0.0	1.0	-0.61	28985.54	19002.57
G13662.43	novel	CG12992		DE	DOWN	0.01946	0.98054	-1.14	380.05	172.52
G13662.5	novel	CG12992		Not DE		0.07624	0.92376	-0.81	373.8	213.4
G13662.6	FBtr0074448	CG12991		Not DE		0.097	0.903	-0.35	893.13	702.54
G13663.3	FBtr0301696	X11L		DE	UP	0.0	1.0	1.13	2820.5	6191.42
G13663.4	FBtr0074451	X11L		Not DE		0.50268	0.49732	-0.06	2003.05	1916.18
G13663.6	FBtr0333757	X11L		Not DE		0.04809	0.95191	0.48	739.78	1031.18
G13665.4	FBtr0074487	stas		Not DE		0.83305	0.16695	-0.03	1924.36	1881.57
G13665.5	FBtr0074487	stas		Not DE		0.06959	0.93041	0.53	1060.15	1531.52
G13665.8	FBtr0074487	stas		Not DE		0.09487	0.90513	0.35	1232.51	1572.68
G13667.1	FBtr0074486	CG8326		DE	UP	0.00786	0.99214	1.16	341.69	762.38
G13668.1	FBtr0074485	corolla	corolla	Not DE		0.01633	0.98367	-0.61	4409.21	2888.41
G13668.11	FBtr0074485	corolla	corolla	DE	DOWN	0.0	1.0	-1.72	9352.83	2829.43
G13668.12	FBtr0074485	corolla	corolla	DE	UP	6.2E-4	0.99938	3.76	24.23	327.33
G13668.8	novel	corolla	corolla	Not DE		0.04207	0.95793	-0.87	332.52	182.38
G13668.9	FBtr0074485	corolla	corolla	DE	UP	0.0	1.0	17.37	0.0	849.11
G13669.3	FBtr0340622	ND-24	ND-24	Not DE		0.0	1.0	-0.67	8558.92	5373.99
G13669.4	novel	ND-24	ND-24	DE	UP	0.00763	0.99237	1.32	294.15	735.91
G1367.2	FBtr0100097	ppk10		Not DE		0.04936	0.95064	0.28	1616.23	1957.74
G1367.3	FBtr0100097	ppk10		DE	UP	8.0E-4	0.9992	3.5	32.25	363.96
G1367.4	novel	ppk10		DE	UP	0.0	1.0	16.1	0.0	352.23
G13671.4	FBtr0074453	CG5800		Not DE		4.6E-4	0.99954	0.95	1664.81	3208.97
